do,du,did,dId,u->Id
terrify,tErIf2,terrified,tE-rI-f2d,NULL->d
predict,prIdIkt,predicted,prI-dIk-tId,NULL->Id
hunt,hVnt,hunted,hVn-tId,NULL->Id
transform,tr{nsf$m,transformed,tr{ns-f$md,NULL->d
tremble,trEmb@l,trembled,trEm-b@ld,NULL->d
construct,k@nstrVkt,constructed,k@n-strVk-tId,NULL->Id
line,l2n,lined,l2nd,NULL->d
strengthen,strENT@n,strengthened,strEN-T@nd,NULL->d
react,rI{kt,reacted,rI-{k-tId,NULL->Id
justify,_VstIf2,justified,_V-stI-f2d,NULL->d
command,k@m{nd,commanded,k@-m{n-dId,NULL->Id
figure,fIg3,figured,fI-g3d,NULL->d
snap,sn{p,snapped,sn{pt,NULL->t
pray,pr1,prayed,pr1d,NULL->d
back,b{k,backed,b{kt,NULL->t
fulfil,fUlfIl,fulfilled,fUl-fIld,NULL->d
balance,b{l@ns,balanced,b{-l@nst,NULL->t
weep,wip,weep,wip,NULL
criticize,krItIs2z,criticized,krI-tI-s2zd,NULL->d
heat,hit,heated,hi-tId,NULL->Id
register,rE_Ist3,registered,rE-_I-st3d,NULL->d
squeeze,skwiz,squeezed,skwizd,NULL->d
manufacture,m{njUf{kJ3,manufactured,m{-njU-f{k-J3d,NULL->d
pose,p5z,posed,p5zd,NULL->d
load,l5d,loaded,l5-dId,NULL->Id
bite,b2t,bit,bIt,2->I
peer,pir,peered,pird,NULL->d
grind,gr2nd,ground,gr6nd,2->6
interrupt,Int@rVpt,interrupted,In-t@-rVp-tId,NULL->Id
double,dVb@l,doubled,dV-b@ld,NULL->d
oblige,@bl2_,obliged,@-bl2_d,NULL->d
cling,klIN,clung,klVN,I->V
lend,lEnd,lent,lEnt,d->t
explore,Ikspl$r,explored,Ik-spl$d,NULL->d
flash,fl{S,flashed,fl{St,NULL->t
owe,5,owed,5d,NULL->d
flee,fli,fled,flEd,i->Ed
grin,grIn,grinned,grInd,NULL->d
deserve,dIz3v,deserved,dI-z3vd,NULL->d
favour,f1v3,favoured,f1-v3d,NULL->d
obey,@b1,obeyed,@-b1d,NULL->d
stress,strEs,stressed,strEst,NULL->t
compose,k@mp5z,composed,k@m-p5zd,NULL->d
range,r1n_,ranged,r1n_d,NULL->d
amuse,@mjuz,amused,@-mjuzd,NULL->d
compete,k@mpit,competed,k@m-pi-tId,NULL->Id
adjust,@_Vst,adjusted,@-_V-stId,NULL->Id
creep,krip,crept,krEpt,iX->EXt
appoint,@p4nt,appointed,@-p4n-tId,NULL->Id
defeat,dIfit,defeated,dI-fi-tId,NULL->Id
diminish,dImInIS,diminished,dI-mI-nISt,NULL->t
adapt,@d{pt,adapted,@-d{p-tId,NULL->Id
confront,k@nfrVnt,confronted,k@n-frVn-tId,NULL->Id
inquire,Inkw23,inquired,In-kw2-3d,NULL->d
protest,pr@tEst,protested,pr@-tE-stId,NULL->Id
cool,kul,cooled,kuld,NULL->d
embarrass,Imb{r@s,embarrassed,Im-b{-r@st,NULL->t
capture,k{pJ3,captured,k{p-J3d,NULL->d
delay,dIl1,delayed,dI-l1d,NULL->d
guide,g2d,guided,g2-dId,NULL->Id
interpret,Int3prIt,interpreted,In-t3-prI-tId,NULL->Id
spin,spIn,span,sp{n,I->{
confess,k@nfEs,confessed,k@n-fEst,NULL->t
trap,tr{p,trapped,tr{pt,NULL->t
crawl,kr$l,crawled,kr$ld,NULL->d
resemble,rIzEmb@l,resembled,rI-zEm-b@ld,NULL->d
neglect,nIglEkt,neglected,nI-glEk-tId,NULL->Id
grasp,gr{sp,grasped,gr{spt,NULL->t
resolve,rIzQlv,resolved,rI-zQlvd,NULL->d
reverse,rIv3s,reversed,rI-v3st,NULL->t
descend,dIsEnd,descended,dI-sEn-dId,NULL->Id
drown,dr6n,drowned,dr6nd,NULL->d
bet,bEt,betted,bE-tId,NULL->Id
embrace,Imbr1s,embraced,Im-br1st,NULL->t
harry,h{rI,harried,h{-rId,NULL->Id
murder,m3d3,murdered,m3-d3d,NULL->d
comment,kQmEnt,commented,kQ-mEn-tId,NULL->Id
shrug,SrVg,shrugged,SrVgd,NULL->d
wound,w6nd,wounded,w6n-dId,NULL->Id
date,d1t,dated,d1-tId,NULL->Id
park,pQrk,parked,pQrkt,NULL->t
object,@b_Ekt,objected,@b-_Ek-tId,NULL->Id
evolve,IvQlv,evolved,I-vQlvd,NULL->d
detect,dItEkt,detected,dI-tEk-tId,NULL->Id
melt,mElt,melted,mEl-tId,NULL->Id
smash,sm{S,smashed,sm{St,NULL->t
inherit,InhErIt,inherited,In-hE-rI-tId,NULL->Id
exchange,IksJ1n_,exchanged,Iks-J1n_d,NULL->d
bleed,blid,bled,blEd,i->E
confine,k@nf2n,confined,k@n-f2nd,NULL->d
desire,dIz23,desired,dI-z2-3d,NULL->d
ruin,rUIn,ruined,rU-Ind,NULL->d
tackle,t{k@l,tackled,t{-k@ld,NULL->d
scratch,skr{J,scratched,skr{Jt,NULL->t
warm,w$m,warmed,w$md,NULL->d
inspire,Insp23,inspired,In-sp2-3d,NULL->d
persist,p@sIst,persisted,p@-sI-stId,NULL->Id
underlie,Vnd@l2,underlay,Vn-d@-l1,2->1
arouse,@r6z,aroused,@-r6zd,NULL->d
communicate,k@mjunIk1t,communicated,k@-mju-nI-k1-tId,NULL->Id
submit,s@bmIt,submitted,s@b-mI-tId,NULL->Id
finance,f2n{ns,financed,f2-n{nst,NULL->t
assemble,@sEmb@l,assembled,@-sEm-b@ld,NULL->d
block,blQk,blocked,blQkt,NULL->t
brush,brVS,brushed,brVSt,NULL->t
fling,flIN,flung,flVN,I->V
resign,rIz2n,resigned,rI-z2nd,NULL->d
bake,b1k,baked,b1kt,NULL->t
consume,k@nsjum,consumed,k@n-sjumd,NULL->d
concern,k@ns3n,concerned,k@n-s3nd,NULL->d
punish,pVnIS,punished,pV-nISt,NULL->t
upset,VpsEt,upset,Vp-sEt,NULL
assess,@sEs,assessed,@-sEst,NULL->t
distribute,dIstrIbjut,distributed,dI-strI-bju-tId,NULL->Id
score,sk$r,scored,sk$d,NULL->d
dislike,dIsl2k,disliked,dIs-l2kt,NULL->t
exclude,Iksklud,excluded,Ik-sklu-dId,NULL->Id
relieve,rIliv,relieved,rI-livd,NULL->d
mutter,mVt3,muttered,mV-t3d,NULL->d
investigate,InvEstIg1t,investigated,In-vE-stI-g1-tId,NULL->Id
compel,k@mpEl,compelled,k@m-pEld,NULL->d
suppress,s@prEs,suppressed,s@-prEst,NULL->t
celebrate,sElIbr1t,celebrated,sE-lI-br1-tId,NULL->Id
differ,dIf3,differed,dI-f3d,NULL->d
assert,@s3t,asserted,@-s3-tId,NULL->Id
hurtle,h3t@l,hurtled,h3-t@ld,NULL->d
convey,k@nv1,conveyed,k@n-v1d,NULL->d
kneel,nil,knelt,nElt,iX->EXt
kneel,nil,knelt,nElt,iX->EXt
spot,spQt,spotted,spQ-tId,NULL->Id
ease,iz,eased,izd,NULL->d
analyse,{n@l2z,analysed,{-n@-l2zd,NULL->d
focus,f5k@s,focussed,f5-k@st,NULL->t
taste,t1st,tasted,t1-stId,NULL->Id
overlook,5v@lUk,overlooked,5-v@-lUkt,NULL->t
project,pr@_Ekt,projected,pr@-_Ek-tId,NULL->Id
encounter,Ink6nt3,encountered,In-k6n-t3d,NULL->d
appeal,@pil,appealed,@-pild,NULL->d
await,@w1t,awaited,@-w1-tId,NULL->Id
explode,Ikspl5d,exploded,Ik-spl5-dId,NULL->Id
reckon,rEk@n,reckoned,rE-k@nd,NULL->d
frighten,fr2t@n,frightened,fr2-t@nd,NULL->d
perceive,p@siv,perceived,p@-sivd,NULL->d
interfere,Int@fir,interfered,In-t@-fird,NULL->d
yell,jEl,yelled,jEld,NULL->d
race,r1s,raced,r1st,NULL->t
trace,tr1s,traced,tr1st,NULL->t
resent,rIzEnt,resented,rI-zEn-tId,NULL->Id
participate,pQrtIsIp1t,participated,pQr-tI-sI-p1-tId,NULL->Id
roar,r$r,roared,r$d,NULL->d
cure,kj$r,cured,kj$d,NULL->d
stuff,stVf,stuffed,stVft,NULL->t
anticipate,{ntIsIp1t,anticipated,{n-tI-sI-p1-tId,NULL->Id
fry,fr2,fried,fr2d,NULL->d
fetch,fEJ,fetched,fEJt,NULL->t
reinforce,riInf$s,reinforced,ri-In-f$st,NULL->t
spare,sp1r,spared,sp1rd,NULL->d
comfort,kVmf@t,comforted,kVm-f@-tId,NULL->Id
frustrate,frVstr1t,frustrated,frV-str1-tId,NULL->Id
import,Imp$t,imported,Im-p$-tId,NULL->Id
interview,Int@vju,interviewed,In-t@-vjud,NULL->d
polish,pQlIS,polished,pQ-lISt,NULL->t
clutch,klVJ,clutched,klVJt,NULL->t
inspect,InspEkt,inspected,In-spEk-tId,NULL->Id
review,rIvju,reviewed,rI-vjud,NULL->d
crush,krVS,crushed,krVSt,NULL->t
file,f2l,filed,f2ld,NULL->d
pile,p2l,piled,p2ld,NULL->d
confuse,k@nfjuz,confused,k@n-fjuzd,NULL->d
tuck,tVk,tucked,tVkt,NULL->t
irritate,IrIt1t,irritated,I-rI-t1-tId,NULL->Id
free,fri,freed,frid,NULL->d
telephone,tElIf5n,telephoned,tE-lI-f5nd,NULL->d
trade,tr1d,traded,tr1-dId,NULL->Id
provoke,pr@v5k,provoked,pr@-v5kt,NULL->t
shrink,SrINk,shrank,Sr{Nk,I->V
shrink,SrINk,shrunk,SrVNk,I->V
starve,stQrv,starved,stQrvd,NULL->d
stumble,stVmb@l,stumbled,stVm-b@ld,NULL->d
chase,J1s,chased,J1st,NULL->t
assist,@sIst,assisted,@-sI-stId,NULL->Id
ban,b{n,banned,b{nd,NULL->d
chew,Ju,chewed,Jud,NULL->d
conceive,k@nsiv,conceived,k@n-sivd,NULL->d
negotiate,nIg5SI1t,negotiated,nI-g5-SI-1-tId,NULL->Id
strip,strIp,stripped,strIpt,NULL->t
decorate,dEk@r1t,decorated,dE-k@-r1-tId,NULL->Id
sail,s1l,sailed,s1ld,NULL->d
strain,str1n,strained,str1nd,NULL->d
betray,bItr1,betrayed,bI-tr1d,NULL->d
plunge,plVn_,plunged,plVn_d,NULL->d
risk,rIsk,risked,rIskt,NULL->t
toss,tQs,tossed,tQst,NULL->t
translate,tr{nsl1t,translated,tr{ns-l1-tId,NULL->Id
weaken,wik@n,weakened,wi-k@nd,NULL->d
cruise,kruz,cruised,kruzd,NULL->d
purchase,p3J@s,purchased,p3-J@st,NULL->t
install,Inst$l,installed,In-st$ld,NULL->d
stimulate,stImjUl1t,stimulated,stI-mjU-l1-tId,NULL->Id
carve,kQrv,carved,kQrvd,NULL->d
depart,dIpQrt,departed,dI-pQr-tId,NULL->Id
shatter,S{t3,shattered,S{-t3d,NULL->d
chop,JQp,chopped,JQpt,NULL->t
thrust,TrVst,thrust,TrVst,NULL
benefit,bEnIfIt,benefited,bE-nI-fI-tId,NULL->Id
correct,k@rEkt,corrected,k@-rEk-tId,NULL->Id
better,bEt3,bettered,bE-t3d,NULL->d
breed,brid,bred,brEd,i->E
excuse,Ikskjuz,excused,Ik-skjuzd,NULL->d
govern,gVv@n,governed,gV-v@nd,NULL->d
pop,pQp,popped,pQpt,NULL->t
damn,d{m,damned,d{md,NULL->d
flourish,flVrIS,flourished,flV-rISt,NULL->t
plead,plid,pleaded,pli-dId,NULL->Id
desert,dIz3t,deserted,dI-z3-tId,NULL->Id
seat,sit,seated,si-tId,NULL->Id
stroke,str5k,stroked,str5kt,NULL->t
crash,kr{S,crashed,kr{St,NULL->t
resume,rIzjum,resumed,rI-zjumd,NULL->d
tempt,tEmpt,tempted,tEmp-tId,NULL->Id
devise,dIv2z,devised,dI-v2zd,NULL->d
crack,kr{k,cracked,kr{kt,NULL->t
endure,Indj$r,endured,In-dj$d,NULL->d
dissolve,dIzQlv,dissolved,dI-zQlvd,NULL->d
straighten,str1t@n,straightened,str1-t@nd,NULL->d
assign,@s2n,assigned,@-s2nd,NULL->d
guard,gQrd,guarded,gQr-dId,NULL->Id
yield,jild,yielded,jil-dId,NULL->Id
echo,Ek5,echoed,E-k5d,NULL->d
render,rEnd3,rendered,rEn-d3d,NULL->d
disguise,dIsg2z,disguised,dIs-g2zd,NULL->d
furnish,f3nIS,furnished,f3-nISt,NULL->t
process,pr5sEs,processed,pr5-sEst,NULL->t
please,pliz,pleased,plizd,NULL->d
modify,mQdIf2,modified,mQ-dI-f2d,NULL->d
educate,E_Uk1t,educated,E-_U-k1-tId,NULL->Id
seal,sil,sealed,sild,NULL->d
sway,sw1,swayed,sw1d,NULL->d
apologize,@pQl@_2z,apologized,@-pQ-l@-_2zd,NULL->d
spill,spIl,spilled,spIld,NULL->d
spill,spIl,spilt,spIlt,NULL->t
rescue,rEskju,rescued,rE-skjud,NULL->d
summon,sVm@n,summoned,sV-m@nd,NULL->d
contemplate,kQntEmpl1t,contemplated,kQn-tEm-pl1-tId,NULL->Id
spell,spEl,spelled,spEld,NULL->d
spell,spEl,spelt,spElt,NULL->t
suspend,s@spEnd,suspended,s@-spEn-dId,NULL->Id
undergo,Vnd@g5,underwent,Vn-d@-wEnt,g5->wEnt
civilize,sIvIl2z,civilized,sI-vI-l2zd,NULL->d
murmur,m3m3,murmured,m3-m3d,NULL->d
qualify,kwQlIf2,qualified,kwQ-lI-f2d,NULL->d
screw,skru,screwed,skrud,NULL->d
tighten,t2t@n,tightened,t2-t@nd,NULL->d
annoy,@n4,annoyed,@-n4d,NULL->d
bless,blEs,blessed,blEst,NULL->t
round,r6nd,rounded,r6n-dId,NULL->Id
batter,b{t3,battered,b{-t3d,NULL->d
pump,pVmp,pumped,pVmpt,NULL->t
allege,@lE_,alleged,@-lE_d,NULL->d
witness,wItnIs,witnessed,wIt-nIst,NULL->t
integrate,IntIgr1t,integrated,In-tI-gr1-tId,NULL->Id
offend,@fEnd,offended,@-fEn-dId,NULL->Id
shiver,SIv3,shivered,SI-v3d,NULL->d
penetrate,pEnItr1t,penetrated,pE-nI-tr1-tId,NULL->Id
scatter,sk{t3,scattered,sk{-t3d,NULL->d
discourage,dIskVrI_,discouraged,dI-skV-rI_d,NULL->d
snatch,sn{J,snatched,sn{Jt,NULL->t
soak,s5k,soaked,s5kt,NULL->t
proclaim,pr@kl1m,proclaimed,pr@-kl1md,NULL->d
dump,dVmp,dumped,dVmpt,NULL->t
retreat,rItrit,retreated,rI-tri-tId,NULL->Id
shape,S1p,shaped,S1pt,NULL->t
transmit,tr{nzmIt,transmitted,tr{nz-mI-tId,NULL->Id
bind,b2nd,bound,b6nd,2->6
type,t2p,typed,t2pt,NULL->t
pat,p{t,patted,p{-tId,NULL->Id
poison,p4z@n,poisoned,p4-z@nd,NULL->d
praise,pr1z,praised,pr1zd,NULL->d
abolish,@bQlIS,abolished,@-bQ-lISt,NULL->t
forbid,f@bId,forbade,f@-b{d,I->{
forbid,f@bId,forbade,f@-b{d,I->{
renew,rInju,renewed,rI-njud,NULL->d
amaze,@m1z,amazed,@-m1zd,NULL->d
dip,dIp,dipped,dIpt,NULL->t
extract,Ikstr{kt,extracted,Ik-str{k-tId,NULL->Id
graze,gr1z,grazed,gr1zd,NULL->d
hook,hUk,hooked,hUkt,NULL->t
sweat,swEt,sweated,swE-tId,NULL->Id
glow,gl5,glowed,gl5d,NULL->d
speed,spid,speeded,spi-dId,NULL->Id
stamp,st{mp,stamped,st{mpt,NULL->t
frown,fr6n,frowned,fr6nd,NULL->d
instruct,InstrVkt,instructed,In-strVk-tId,NULL->Id
mumble,mVmb@l,mumbled,mVm-b@ld,NULL->d
progress,pr5grEs,progressed,pr5-grEst,NULL->t
divorce,dIv$s,divorced,dI-v$st,NULL->t
fancy,f{nsI,fancied,f{n-sId,NULL->Id
incorporate,Ink$p@r1t,incorporated,In-k$-p@-r1-tId,NULL->Id
slap,sl{p,slapped,sl{pt,NULL->t
enforce,Inf$s,enforced,In-f$st,NULL->t
fascinate,f{sIn1t,fascinated,f{-sI-n1-tId,NULL->Id
rear,rir,reared,rird,NULL->d
sip,sIp,sipped,sIpt,NULL->t
copy,kQpI,copied,kQ-pId,NULL->Id
regret,rIgrEt,regretted,rI-grE-tId,NULL->Id
wind,wInd,wound,w6nd,I->6
flood,flVd,flooded,flV-dId,NULL->Id
indulge,IndVl_,indulged,In-dVl_d,NULL->d
label,l1b@l,labelled,l1-b@ld,NULL->d
tip,tIp,tipped,tIpt,NULL->t
accumulate,@kjumjUl1t,accumulated,@-kju-mjU-l1-tId,NULL->Id
camp,k{mp,camped,k{mpt,NULL->t
condition,k@ndIS@n,conditioned,k@n-dI-S@nd,NULL->d
reward,rIw$d,rewarded,rI-w$-dId,NULL->Id
bang,b{N,banged,b{Nd,NULL->d
book,bUk,booked,bUkt,NULL->t
cancel,k{ns@l,cancelled,k{n-s@ld,NULL->d
giggle,gIg@l,giggled,gI-g@ld,NULL->d
gleam,glim,gleamed,glimd,NULL->d
bounce,b6ns,bounced,b6nst,NULL->t
equal,ikw@l,equalled,i-kw@ld,NULL->d
enclose,Inkl5z,enclosed,In-kl5zd,NULL->d
gasp,g{sp,gasped,g{spt,NULL->t
plough,pl6,ploughed,pl6d,NULL->d
characterize,k{r@kt@r2z,characterized,k{-r@k-t@-r2zd,NULL->d
undermine,Vnd@m2n,undermined,Vn-d@-m2nd,NULL->d
empty,EmptI,emptied,Emp-tId,NULL->Id
induce,Indjus,induced,In-djust,NULL->t
tap,t{p,tapped,t{pt,NULL->t
alarm,@lQrm,alarmed,@-lQrmd,NULL->d
prop,prQp,propped,prQpt,NULL->t
bow,b5,bowed,b5d,NULL->d
discard,dIskQrd,discarded,dIs-kQr-dId,NULL->Id
advertise,{dv@t2z,advertised,{d-v@-t2zd,NULL->d
invade,Inv1d,invaded,In-v1-dId,NULL->Id
jerk,_3k,jerked,_3kt,NULL->t
locate,l5k1t,located,l5-k1-tId,NULL->Id
outline,6tl2n,outlined,6t-l2nd,NULL->d
surprise,s@pr2z,surprised,s@-pr2zd,NULL->d
bait,b1t,baited,b1-tId,NULL->Id
shed,SEd,shed,SEd,NULL
surrender,s@rEnd3,surrendered,s@-rEn-d3d,NULL->d
curl,k3l,curled,k3ld,NULL->d
curse,k3s,cursed,k3st,NULL->t
slam,sl{m,slammed,sl{md,NULL->d
rain,r1n,rained,r1nd,NULL->d
reassure,ri@S$r,reassured,ri-@-S$d,NULL->d
substitute,sVbstItjut,substituted,sVb-stI-tju-tId,NULL->Id
bargain,bQrgIn,bargained,bQr-gInd,NULL->d
pin,pIn,pinned,pInd,NULL->d
spit,spIt,spat,sp{t,I->{
cheer,Jir,cheered,Jird,NULL->d
revive,rIv2v,revived,rI-v2vd,NULL->d
swell,swEl,swelled,swEld,NULL->d
accelerate,@ksEl@r1t,accelerated,@k-sE-l@-r1-tId,NULL->Id
accomplish,@kVmplIS,accomplished,@-kVm-plISt,NULL->t
contract,k@ntr{kt,contracted,k@n-tr{k-tId,NULL->Id
mislead,mIslid,misled,mIs-lEd,i->E
narrow,n{r5,narrowed,n{-r5d,NULL->d
exceed,Iksid,exceeded,Ik-si-dId,NULL->Id
rattle,r{t@l,rattled,r{-t@ld,NULL->d
unlock,VnlQk,unlocked,Vn-lQkt,NULL->t
heal,hil,healed,hild,NULL->d
rip,rIp,ripped,rIpt,NULL->t
tolerate,tQl@r1t,tolerated,tQ-l@-r1-tId,NULL->Id
accommodate,@kQm@d1t,accommodated,@-kQ-m@-d1-tId,NULL->Id
initiate,InISI1t,initiated,I-nI-SI-1-tId,NULL->Id
pronounce,pr@n6ns,pronounced,pr@-n6nst,NULL->t
scramble,skr{mb@l,scrambled,skr{m-b@ld,NULL->d
steer,stir,steered,stird,NULL->d
reproduce,ripr@djus,reproduced,ri-pr@-djust,NULL->t
rob,rQb,robbed,rQbd,NULL->d
worship,w3SIp,worshipped,w3-SIpt,NULL->t
co-ordinate,k5$dIn1t,co-ordinated,k5-$-dI-n1-tId,NULL->Id
distort,dIst$t,distorted,dI-st$-tId,NULL->Id
grip,grIp,gripped,grIpt,NULL->t
trail,tr1l,trailed,tr1ld,NULL->d
tilt,tIlt,tilted,tIl-tId,NULL->Id
despise,dIsp2z,despised,dI-sp2zd,NULL->d
trot,trQt,trotted,trQ-tId,NULL->Id
choke,J5k,choked,J5kt,NULL->t
entertain,Ent@t1n,entertained,En-t@-t1nd,NULL->d
disagree,dIs@gri,disagreed,dIs-@-grid,NULL->d
dispose,dIsp5z,disposed,dI-sp5zd,NULL->d
recruit,rIkrut,recruited,rI-kru-tId,NULL->Id
decrease,dikris,decreased,di-krist,NULL->t
multiply,mVltIpl2,multiplied,mVl-tI-pl2d,NULL->d
rebuild,ribIld,rebuilt,ri-bIlt,d->t
concede,k@nsid,conceded,k@n-si-dId,NULL->Id
reserve,rIz3v,reserved,rI-z3vd,NULL->d
advocate,{dv@k1t,advocated,{d-v@-k1-tId,NULL->Id
poke,p5k,poked,p5kt,NULL->t
survey,s@v1,surveyed,s@-v1d,NULL->d
honour,Qn3,honoured,Q-n3d,NULL->d
sacrifice,s{krIf2s,sacrificed,s{-krI-f2st,NULL->t
cultivate,kVltIv1t,cultivated,kVl-tI-v1-tId,NULL->Id
utter,Vt3,uttered,V-t3d,NULL->d
cheat,Jit,cheated,Ji-tId,NULL->Id
crouch,kr6J,crouched,kr6Jt,NULL->t
enhance,Inh{ns,enhanced,In-h{nst,NULL->t
exclaim,Ikskl1m,exclaimed,Ik-skl1md,NULL->d
rock,rQk,rocked,rQkt,NULL->t
cater,k1t3,catered,k1-t3d,NULL->d
conquer,kQNk3,conquered,kQN-k3d,NULL->d
shave,S1v,shaved,S1vd,NULL->d
tease,tiz,teased,tizd,NULL->d
intervene,Int@vin,intervened,In-t@-vind,NULL->d
sandwich,s{nwI_,sandwiched,s{n-wI_d,NULL->d
blink,blINk,blinked,blINkt,NULL->t
haunt,h$nt,haunted,h$n-tId,NULL->Id
house,h6z,housed,h6zd,NULL->d
square,skw1r,squared,skw1rd,NULL->d
bewilder,bIwIld3,bewildered,bI-wIl-d3d,NULL->d
flush,flVS,flushed,flVSt,NULL->t
monitor,mQnIt3,monitored,mQ-nI-t3d,NULL->d
weave,wiv,weave,wiv,NULL
horrify,hQrIf2,horrified,hQ-rI-f2d,NULL->d
restrict,rIstrIkt,restricted,rI-strIk-tId,NULL->Id
signal,sIgn@l,signalled,sIg-n@ld,NULL->d
stage,st1_,staged,st1_d,NULL->d
deposit,dIpQzIt,deposited,dI-pQ-zI-tId,NULL->Id
heave,hiv,heaved,hivd,NULL->d
award,@w$d,awarded,@-w$-dId,NULL->Id
enlarge,InlQr_,enlarged,In-lQr_d,NULL->d
flicker,flIk3,flickered,flI-k3d,NULL->d
widen,w2d@n,widened,w2-d@nd,NULL->d
stagger,st{g3,staggered,st{-g3d,NULL->d
stem,stEm,stemmed,stEmd,NULL->d
astonish,@stQnIS,astonished,@-stQ-nISt,NULL->t
rage,r1_,raged,r1_d,NULL->d
top,tQp,topped,tQpt,NULL->t
deceive,dIsiv,deceived,dI-sivd,NULL->d
haul,h$l,hauled,h$ld,NULL->d
manipulate,m@nIpjUl1t,manipulated,m@-nI-pjU-l1-tId,NULL->Id
moan,m5n,moaned,m5nd,NULL->d
regain,rIg1n,regained,rI-g1nd,NULL->d
strive,str2v,strove,str5v,2->5
contact,kQnt{kt,contacted,kQn-t{k-tId,NULL->Id
puzzle,pVz@l,puzzled,pV-z@ld,NULL->d
attain,@t1n,attained,@-t1nd,NULL->d
whip,wIp,whipped,wIpt,NULL->t
dictate,dIkt1t,dictated,dIk-t1-tId,NULL->Id
formulate,f$mjUl1t,formulated,f$-mjU-l1-tId,NULL->Id
function,fVNkS@n,functioned,fVNk-S@nd,NULL->d
implement,ImplImEnt,implemented,Im-plI-mEn-tId,NULL->Id
venture,vEnJ3,ventured,vEn-J3d,NULL->d
preach,priJ,preached,priJt,NULL->t
restrain,rIstr1n,restrained,rI-str1nd,NULL->d
stroll,str5l,strolled,str5ld,NULL->d
dash,d{S,dashed,d{St,NULL->t
exaggerate,Igz{_@r1t,exaggerated,Ig-z{-_@-r1-tId,NULL->Id
execute,EksIkjut,executed,Ek-sI-kju-tId,NULL->Id
fund,fVnd,funded,fVn-dId,NULL->Id
shudder,SVd3,shuddered,SV-d3d,NULL->d
dazzle,d{z@l,dazzled,d{-z@ld,NULL->d
request,rIkwEst,requested,rI-kwE-stId,NULL->Id
bowl,b5l,bowled,b5ld,NULL->d
exert,Igz3t,exerted,Ig-z3-tId,NULL->Id
flatter,fl{t3,flattered,fl{-t3d,NULL->d
sniff,snIf,sniffed,snIft,NULL->t
calm,k{m,calmed,k{md,NULL->d
campaign,k{mp1n,campaigned,k{m-p1nd,NULL->d
graduate,gr{djU1t,graduated,gr{-djU-1-tId,NULL->Id
quit,kwIt,quitted,kwI-tId,NULL->Id
whistle,wIs@l,whistled,wI-s@ld,NULL->d
frame,fr1m,framed,fr1md,NULL->d
welsh,wElS,welshed,wElSt,NULL->t
bomb,bQm,bombed,bQmd,NULL->d
dive,d2v,dived,d2vd,NULL->d
envisage,InvIzI_,envisaged,In-vI-zI_d,NULL->d
flutter,flVt3,fluttered,flV-t3d,NULL->d
sow,s5,sowed,s5d,NULL->d
stride,str2d,strode,str5d,2->5
clasp,kl{sp,clasped,kl{spt,NULL->t
hurl,h3l,hurled,h3ld,NULL->d
cough,kQf,coughed,kQft,NULL->t
hammer,h{m3,hammered,h{-m3d,NULL->d
imitate,ImIt1t,imitated,I-mI-t1-tId,NULL->Id
precede,prisid,preceded,pri-si-dId,NULL->Id
centre,sEnt3,centred,sEn-t3d,NULL->d
curve,k3v,curved,k3vd,NULL->d
scrape,skr1p,scraped,skr1pt,NULL->t
vomit,vQmIt,vomited,vQ-mI-tId,NULL->Id
halt,h$lt,halted,h$l-tId,NULL->Id
envy,EnvI,envied,En-vId,NULL->Id
sue,su,sued,sud,NULL->d
market,mQrkIt,marketed,mQr-kI-tId,NULL->Id
squat,skwQt,squatted,skwQ-tId,NULL->Id
ache,1k,ached,1kt,NULL->t
adore,@d$r,adored,@-d$d,NULL->d
circulate,s3kjUl1t,circulated,s3-kjU-l1-tId,NULL->Id
erect,IrEkt,erected,I-rEk-tId,NULL->Id
exhibit,IgzIbIt,exhibited,Ig-zI-bI-tId,NULL->Id
stun,stVn,stunned,stVnd,NULL->d
blur,bl3r,blurred,bl3d,NULL->d
combat,kQmb{t,combatted,kQm-b{-tId,NULL->Id
compensate,kQmpEns1t,compensated,kQm-pEn-s1-tId,NULL->Id
glare,gl1r,glared,gl1rd,NULL->d
programme,pr5gr{m,programmed,pr5-gr{md,NULL->d
divert,d2v3t,diverted,d2-v3-tId,NULL->Id
subject,s@b_Ekt,subjected,s@b-_Ek-tId,NULL->Id
tread,trEd,trod,trQd,E->Q
intrigue,Intrig,intrigued,In-trigd,NULL->d
level,lEv@l,levelled,lE-v@ld,NULL->d
linger,lINg3,lingered,lIN-g3d,NULL->d
shove,SVv,shoved,SVvd,NULL->d
hover,hQv3,hovered,hQ-v3d,NULL->d
nationalize,n{S@n@l2z,nationalized,n{-S@n-@-l2zd,NULL->d
stain,st1n,stained,st1nd,NULL->d
thrive,Tr2v,thrived,Tr2vd,NULL->d
awaken,@w1k@n,awakened,@-w1-k@nd,NULL->d
isolate,2s@l1t,isolated,2-s@-l1-tId,NULL->Id
merge,m3_,merged,m3_d,NULL->d
photograph,f5t@gr{f,photographed,f5-t@-gr{ft,NULL->t
prompt,prQmpt,prompted,prQmp-tId,NULL->Id
subsidize,sVbsId2z,subsidized,sVb-sI-d2zd,NULL->d
boast,b5st,boasted,b5-stId,NULL->Id
debate,dIb1t,debated,dI-b1-tId,NULL->Id
foresee,f$si,foresaw,f$-s$,i->$
shuffle,SVf@l,shuffled,SV-f@ld,NULL->d
